,word string,0
27171,Visium Asset Management,True
27177,Marijuana Industry Group,True
27183,Global Asset Allocation,True
27185,CCSAN FRANCISCO,True
27204,Enrique Pena Nieto,True
27359,Promontory Financial Group,True
27372,Angus Advisory Group,True
27397,Teal Group,True
27410,The Edge Consulting Group,True
27443,Puma SE,True
27520,Lorillard Inc,True
27560,The Group,True
27582,ChicagoNEW YORK,True
27719,Medtronic Inc,True
27763,Canadian Imperial Bank,True
27807,Dodge Ram,True
27811,PSA Peugeot Citroen SA,True
27845,Standard Bank Group Ltd,True
27868,Mattel Inc,True
27906,Alibaba Group Holdings,True
27950,National Coffee Exporters,True
27960,Alibaba Group Holding,True
27986,Fortress Investment Group,True
27992,Industry Y,True
28052,With Allen,True
28191,Modern Bride,True
28222,Convertro Inc,True
28229,Peter J Solomon Company,True
28271,The Airbus Group,True
28457,Societe Generale SA,True
28464,Vanguard Group,True
28510,RadioShack Corp,True
28530,Scotland Group,True
28693,Dongfeng Motor Group,True
28754,Phalanx Capital Management,True
28789,Central Park Group LLC,True
28877,Stores Inc,True
28898,Wasinger Law Group,True
28902,Dean Foods,True
28971,Tubemogul Inc,True
28998,MC Aviation Partners,True
29048,JP Morgans,True
29050,Norfolk Southern Corp,True
29061,The Parthenon Group,True
29131,Steve West,True
29164,Morgan Asset Management,True
29180,Astellas Pharma Inc,True
29361,Economic Daily News,True
29548,Faurecia SA,True
29622,Risk Management,True
29675,Truscan Steel Company,True
29719,Delta Strategy Group,True
29762,Dixy Group,True
29777,The Coca-Cola Company,True
29804,Japan Airlines Co Ltd,True
29805,New England Media Group,True
29852,Sir Terence Conran,True
29939,Auburn Hills,True
29967,Targets The Company,True
29977,Tesla Motors Inc,True
30040,Altimeter Group,True
30051,Company Updates Click,True
30355,Penns Energy Company,True
30368,TSG Consumer Partners,True
30402,Drinks Industry Group,True
30445,Wealth Advisory Group,True
30536,Societe Generale SAand,True
30764,The Shopping Center Group,True
30782,Three Ring Road,True
30869,Sorinet Group,True
30935,DC Bitcoin Users Group,True
30945,Minsheng Banking Corp,True
30954,Frontier Group,True
30978,Jiayuan Group,True
31056,Pegatron Corp,True
31275,Samsung Galaxy Nexus,True
31307,KCG Holdings Inc,True
31344,Google Now,True
31450,Staples Inc,True
31516,Harold P,True
31547,BlackBerry Ltd,True
31636,McCarthyA TAtraultA LLP,True
31733,Jonathan Wilmot,True
31833,Cypress Group,True
31897,Sabre Corp,True
31914,Wet Seal,True
32045,Dow Chemical Co,True
32088,BCA Research Inc,True
32113,Samsung Fire,True
32181,The Real Deal,True
32249,Mega Ltd,True
32363,Potomac Research Group,True
32486,RBS Group,True
32645,Samsung Electronics Co,True
32669,CME Clearing,True
32720,South Sea Bubble,True
32786,Gilead Sciences Inc,True
33011,Iraqi Kurdistan,True
33105,Ann Inc,True
33177,The Future,True
33412,South Sea Stock,True
33471,The Philadelphia Inquirer,True
33471,CBRE Group,True
33626,Chipotle Mexican Grill,True
33639,Rakuten Inc,True
33739,Sofitel Luxury Hotels,True
33951,Sears Canada Inc,True
34078,The Group Think,True
34091,CNOOC Group,True
34158,CBS Corp,True
34237,Sam Colt,True
34267,HCP Parties,True
34441,Credit Suisse Group AG,True
34494,Financial Management Group,True
34495,Janus Capital Group Inc,True
34507,Dorsey Wright Money Management,True
34522,Marwan Lahoud,True
34598,Stryker Corp,True
34704,Huangpu River,True
34783,Twenty-First Century Fox,True
34836,Comercial SA,True
34923,MF Global Inc,True
34930,V2 Cigs,True
34980,Heinz Co,True
35051,New Netherland,True
35154,Virgin Money,True
35187,Ann Marsh,True
35313,Nokia Oyj,True
35314,Wistron Corp,True
35339,Ally Financial Inc,True
35414,Universal Music Group,True
35572,CEO Sally Smith,True
35614,ConvergEx Group,True
35756,Gabriel Espindola Martinez,True
35774,San Rafael,True
35802,China Revaluation U,True
35880,Cargill Inc,True
36197,Morningstar Inc,True
36200,Pink Floyd,True
36204,Prudential Financial Inc,True
36234,Vanke Group,True
36251,Berkshire Hathaway Inc,True
36408,America Corp,True
36425,Employee Retirement Income Security Act,True
36486,Twitter Inc,True
36494,Prosensa Holding NV,True
36512,JPMorgan Asset Management,True
36638,Unilever NV,True
36661,Critical Mass,True
36677,US Wealth Report,True
36699,National Iranian Tanker Co,True
36747,Goldman Sachs Group,True
36804,North AmericaA,True
36811,American Express Co,True
36926,Tableau Software Inc,True
37046,Harry Winston,True
37053,SC Management,True
37103,Stanford Financial Group,True
37104,Brian Kelley,True
37113,Virgin Australia Group,True
37114,Service Corp,True
37129,Standard General LP,True
37211,Walt Disney Company,True
37303,Potash Corp,True
37399,Abaxis Inc,True
37404,Gap Inc,True
37422,General Electric Co,True
37431,ING Investment Management,True
37636,Vontobel Asset Management,True
37660,Hony Capital,True
37664,Judicial Watch Inc,True
37787,Soros Fund Management,True
37821,Charles Schwab Corp,True
37894,UBS Wealth Management,True
37943,Tuttle Tactical Management,True
38026,John Paul Getty,True
38056,Aite Group,True
38105,Nvidia Corp,True
38160,El Paso Pipeline Partners,True
38337,Aviall Services Inc,True
38491,Bespoke Investment Group,True
38525,Kevin Brown,True
38574,Intel Corp,True
38616,Susquehanna Growth Equity,True
38633,Facebook Inc,True
38633,Coca-Cola Co,True
38661,Espirito Santo Group,True
38710,JCPenney Co Inc,True
38714,Mobile Device Management,True
38736,Royal Bank,True
38740,American Revival Fund,True
38763,Kelley CEO,True
38811,Fossil Inc,True
38915,Hayman Capital Management,True
38918,China Everbright Bank Co,True
38987,Syncora Guarantee Inc,True
38995,Chevrolet Cruze,True
39015,NewLink Genetics Corp,True
39071,IBM Corp,True
39093,MSCI Inc,True
39098,URS Corporation,True
39105,Heres Tim Cooks,True
39145,Moore Capital Management,True
39215,Louis Dreyfus Corp,True
39222,Chalkstream Capital Group,True
39286,CLS Bank,True
39301,Nick Graham,True
39400,Co Inc,True
39401,Happiness Dividend Blog,True
39491,CTW Investment Group,True
39508,Fort Pitt Capital Group,True
39593,Rowe Price,True
39597,Trade Flow Insights,True
39643,The Goldman Sachs Group,True
39666,Vodafone Group,True
39798,Green Friday  Be,True
39812,Enforcement Act,True
39850,Jefferies Group,True
39858,Chrysler Group,True
40050,Sun Edison,True
40226,SAN FRANCISCO  Wells Fargo,True
40423,Jones Lang LaSalle Inc,True
40476,Skylar Capital,True
40499,Mari Saito,True
40499,Liberty Broadband Group,True
40514,The Geo Group,True
40519,Flash Boys,True
40554,Sears Holdings Corp,True
40602,Zalando SE,True
40636,Pfizer Inc,True
40725,Tokyo Electric Power Co,True
40744,Longbow Asset Management,True
40792,Alpha Asset Management,True
41127,Schramm Inc,True
41307,Jinan Intermediate People,True
41307,Affinity Equity Partners,True
41354,Kate Allen,True
41413,Google Inc,True
41448,Vogel Capital Management,True
41531,The ArcView Group,True
41589,HSBC Group,True
41635,IBM Corporation,True
41818,Company A,True
41821,Senior Partner,True
41917,The Priceline Group,True
42082,An Edward Jones,True
42264,Arizona Public Service Company,True
42272,Altria Group Inc,True
42572,Tough Guys,True
42714,United Nations Plaza,True
42887,China Grain Reserves Corp,True
42922,Harbinger Group,True
43001,BMT Asset Management,True
43099,Wealth Management Products,True
43247,Group LP,True
43254,Chesapeake Energy Corp,True
43686,CDW Corporation,True
43750,Battery Venture Capital,True
43755,Keurig ColdTM,True
43954,Atria Publishing Group,True
43980,Secret Small Cap Stock,True
44324,Rising Sun,True
44443,CVS Caremark Corp,True
44541,Simon Property Group,True
44543,Water Street,True
44716,LinkedIn Group,True
44825,Scotland Group PLC,True
44988,Sogou Inc,True
45284,Aberdeen Asset Management,True
45339,Baupost Group,True
45356,Roberto Henriques European,True
45581,Digital Luxury Group,True
45659,State Property Fund,True
45669,Apollo Global Management,True
45674,BlackRock Inc,True
45681,Cisco Systems Inc,True
45690,COO Barbarian Group,True
46049,Rick White,True
46202,Brian Kinsella,True
46214,Hertz Global Holdings Inc,True
46279,Group Menatep,True
46359,United Health Group,True
46731,Alibaba Group,True
46858,Martin Luther King Jr,True
47140,Emperor Group,True
47524,Abengoa SA,True
47546,Family Company,True
47676,Murmansk Shipping Company,True
47939,The Walt Disney Company,True
47953,Agco Corp,True
48827,Ben Bernanke,True
48850,European Parliamentary,True
49103,Neiman Marcus Group Inc,True
49142,Allianz SE,True
49151,York St,True
49286,Zynga Inc,True
49296,BNY Mellon,True
49313,Toyota Motor Corp,True
49340,Facebook Times,True
49377,Innovation Network Corp,True
49468,HP Inc,True
49552,Bayview Asset Management,True
49778,Douglas Haynes,True
50032,Royal Alliance,True
50101,Savills The,True
50559,Dynegy Inc,True
50689,Ruchir Sharma,True
50716,Washington Mutual Inc,True
50764,Alexander Solzhenitsyn,True
51015,Zero Bound,True
51033,The Winston Group,True
51065,Apple Inc,True
51162,Dalian Wanda Group,True
51482,Marcum LLP,True
51735,Entertainment Group,True
52086,Tom Enders,True
52145,Dana Point,True
52224,Robert Martin,True
52400,Salzburger Nachrichten,True
52458,China Film Group,True
52594,Family Dollar Stores,True
52789,The ADS Group,True
53191,State Street Corp,True
53539,The Ux Consulting Company,True
53545,Plexus Asset Management,True
53594,Trina Solar Ltd,True
53651,Cadence Bank,True
53661,Group CEO,True
53687,Haima Automobile Group,True
53839,Samsung C,True
53966,HB Group,True
53993,NSK Ltd,True
54119,Texas Pacific Group,True
54215,Mid-Cap Growth Equities,True
54281,Sina Corp,True
54300,Assya Asset Management,True
54360,Chris Kotowski,True
54465,Every Chrysler Group,True
54475,Newmont Mining Corp,True
54673,Shanghai Media Group,True
55019,North Dakota State,True
55048,Nike Inc,True
55056,GT Advanced Technologies Inc,True
55100,Bacon Portabella Melt,True
55193,Northern Star,True
55412,Mongolian Mining Corp,True
55674,CIT Group,True
55874,Wells Capital Management,True
55928,Starbucks Coffee Company,True
56238,David E,True
56413,Kerry Rice,True
56603,Helane Becker,True
56678,Samsung Group,True
56877,IPCO International Ltd,True
56918,Business Call,True
57011,Family Dollar Stores Inc,True
57019,Rio Tinto Group,True
57175,Loomis Sayles,True
57552,Arthur Martinez,True
